"format","link_type","status","audience","priority","tier","nav_visible","section","practice",,"mod: Co-Planning","mod: Repeated Reading","mod: Routine Data Cycles","mod: Leading Implementation","mod: Stories & Spotlights","mod: Evidence & Impact","mod: R2I Library","mod: Site Assets"
"Document","download","planned","Teacher","Must Have","IGNITE","yes","Co-Planning","Co-Planning",,"Overview","Overview","Overview","Core Content","Partner Spotlights","White Papers","Collaboration","Home & Impact"
"Deck","external_link","in_progress","School Leader","Should Have","Own","hidden-until-live","Repeated Reading","Repeated Reading",,"Enabling Conditions","Infrastructure & Enabling Conditions","Infrastructure & Enabling Conditions","Coaching & Team Tools","School Case Studies","External Evaluation","Data for MTSS",
"Tool","embed","ready","Network Leader","Nice to Have","Stories",,"Routine Data Cycles","Routine Data Cycles",,"Getting Started","Getting Started","Getting Started","Field Resources","From the Field","Annual Reports","Emotional Support",
"Protocol",,,"All","Nonessential","Evidence",,"Leading Implementation",,,"Detailed Practice in Action","Detailed Practice in Action","Detailed Practice in Action","Stories",,"Equity-Gap Roadmap","Postsecondary",
"Template",,,,,"R2I",,"Stories & Spotlights",,,"Measurement & Progress Monitoring","Measurement & Progress Monitoring","Measurement & Progress Monitoring",,,,"Secondary Literacy",
"Case Study",,,,,"Site",,"Evidence & Impact",,,"Common Pitfalls & Barriers","Common Pitfalls & Barriers","Common Pitfalls & Barriers",,,,,
"Infographic",,,,,,,"R2I Library",,,"Learning More","Learning More","Learning More",,,,,
"Video",,,,,,,"Site Assets",,,,,,,,,,
"Other",,,,,,,,,,,,,,,,,
